americas_bvsp,americas_gsptse,americas_ipsa,americas_merv,americas_mxx,asia_000001ss,asia_aord,asia_axjo,asia_bsesn,asia_hsi,asia_jkse,asia_klse,asia_ks11,asia_n225,asia_nz50,asia_sti,asia_twii,europe_aex,europe_atx,europe_bfx,europe_fchi,europe_ftse,europe_gdat,europe_gdaxi,europe_omxspi,europe_oseax,europe_ssmi,europe_stoxx50e,us_bank,us_bkx,us_gspc,us_inds,us_insr,us_ixco,us_ixic,us_ixtc,us_mid,us_nbi,us_ndx,us_ny,us_nya,us_nyi,us_nyl,us_nyy,us_oex,us_ofin,us_rua,us_rui,us_rut,us_sox,us_tran,us_vix,us_xax,us_xmi
52806.0,14702.3,3925.31,7374.81,41943.96,2021.29,5458.1,5479.9,24374.4,22953.76,4969.88,1875.12,2015.59,14337.79,5128.84,3265.66,8969.63,404.14,2437.43,3128.26,4478.21,6820.6,1150.97,9720.91,451.2,667.45,8694.0,3187.63,2464.14,67.93,1892.49,3550.11,6243.16,2096.55,4154.34,251.94,1360.48,2444.53,3650.86,8025.19,10644.52,5841.2,7219.32,7333.98,839.41,5342.29,1128.88,1055.06,1113.87,584.3,3232.75,12.03,2676.08,1847.65
52626.0,14708.1,3960.06,7446.85,41917.92,2034.57,5470.3,5492.8,24693.35,22965.86,4973.06,1869.22,2017.17,14462.17,5151.37,3278.02,9008.22,405.14,2461.54,3129.86,4493.15,6815.8,1171.15,9768.01,452.37,670.15,8703.8,3203.28,2480.18,68.12,1900.53,3583.04,6257.62,2116.97,4185.81,253.45,1369.66,2450.48,3677.33,8047.81,10681.87,5852.05,7237.1,7370.95,842.59,5364.57,1134.48,1059.76,1126.19,589.91,3255.43,11.36,2663.93,1854.9
52932.0,14715.7,3959.01,7533.36,42004.58,2041.48,5490.4,5512.8,24716.88,22963.18,4963.92,1862.8,2010.35,14602.52,5153.68,3282.88,9036.12,406.88,2492.1,3145.61,4526.93,0.0,1197.71,9892.82,453.19,669.76,8712.4,3240.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52172.0,14658.0,3930.02,7571.62,41958.97,2034.56,5490.8,5511.7,24549.51,22944.3,0.0,1867.57,1997.63,14636.52,5145.85,3274.06,9055.29,406.81,2514.79,3153.97,4529.75,6844.9,1207.55,9940.82,453.92,673.49,8710.4,3244.28,2506.23,68.71,1911.91,3607.38,6310.21,2147.85,4237.07,255.73,1378.4,2512.61,3723.07,8076.53,10720.62,5861.63,7257.75,7379.3,847.38,5416.74,1141.98,1066.1,1142.2,597.08,3274.4,11.51,2672.34,1859.51
52640.0,14611.0,3929.3,7665.43,41960.45,2050.23,5506.7,5527.2,24556.09,23080.03,4985.58,1871.66,2017.06,14670.95,5181.46,3271.84,9121.71,405.94,2521.07,3161.85,4531.63,6851.2,1220.16,9939.17,453.5,675.62,8706.5,3246.24,2489.88,68.64,1909.78,3595.7,6267.08,2140.94,4225.08,256.86,1374.56,2501.21,3712.26,8070.04,10702.73,5837.98,7243.24,7370.11,846.35,5413.97,1140.3,1064.83,1136.68,597.66,3298.56,11.68,2661.1,1855.79
52239.0,14589.0,3944.21,7815.59,42009.92,2040.59,5499.2,5519.5,24234.15,23010.14,0.0,1876.62,2012.26,14681.72,5183.16,3300.71,9109.0,407.44,0.0,3162.09,4530.51,6871.3,1206.21,9938.9,0.0,0.0,0.0,3244.66,2487.94,68.66,1920.03,3614.76,6278.51,2155.06,4247.95,257.22,1380.53,2516.18,3735.72,8110.71,10752.11,5856.96,7274.96,7394.48,850.89,5421.1,1146.15,1070.48,1140.07,598.96,3303.69,11.57,2701.2,1864.63
51239.0,14604.2,3903.81,7712.23,41362.51,2039.21,5473.8,5492.5,24217.34,23081.65,4893.91,1873.38,1994.96,14632.38,5178.44,3295.85,9075.91,407.21,2529.33,3159.1,4519.57,6844.5,1223.48,9943.27,455.66,675.14,8674.5,3244.6,2488.21,68.91,1923.57,3611.69,6251.43,2154.38,4242.62,256.26,1377.98,2503.62,3736.82,8127.65,10756.31,5843.05,7278.19,7376.96,852.69,5408.54,1147.18,1071.96,1134.5,599.59,3301.33,11.4,2727.3,1869.21
51606.0,14680.8,3891.19,7678.23,41936.71,0.0,5499.2,5518.5,24684.85,0.0,4912.09,1864.25,2002.0,14935.92,0.0,3302.24,0.0,408.77,2534.18,3160.56,4515.89,6864.1,1245.15,9950.12,455.39,681.13,8689.0,3247.8,2506.63,69.28,1924.97,3612.47,6213.22,2146.49,4237.2,255.96,1381.89,2504.99,3732.96,8134.92,10772.01,5856.73,7288.57,7396.69,852.38,5397.42,1147.92,1073.15,1128.9,602.84,3331.71,11.58,2711.28,1871.89
52032.0,14734.7,3908.83,7708.8,42126.09,2038.31,5460.5,5479.7,24858.59,23291.04,4942.16,1872.55,2008.56,15034.25,5164.12,3296.67,9123.46,408.61,2515.73,3142.58,4503.69,6836.3,1234.62,9919.74,454.03,683.03,8661.2,3241.04,2514.99,69.52,1924.24,3600.66,6187.81,2146.6,4234.08,254.89,1381.51,2515.44,3730.07,8129.83,10770.33,5860.48,7287.4,7380.67,851.86,5385.09,1147.33,1072.77,1126.15,608.43,3321.78,11.87,2707.75,1870.06
51833.0,14796.8,3916.96,7695.48,41953.3,2024.83,5426.8,5444.8,24805.83,23151.71,4932.56,1865.2,0.0,15067.96,5159.35,3280.17,9119.96,408.07,2513.77,3142.93,4501.0,6818.6,1251.05,9926.67,454.66,679.18,8661.1,3237.93,2516.92,69.55,1927.88,3612.03,6231.69,2154.03,4251.64,254.65,1387.91,2542.3,3743.59,8137.26,10776.78,5839.74,7282.11,7367.62,853.11,5392.98,1150.0,1075.07,1131.22,611.14,3371.42,12.08,2707.45,1870.68
